"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2010","2010","08","Dublin City - houses","Base Jan 2005 = 100","77.1"
"HPA06C01","Residential Property Price Index","2010","2010","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","79.9"
"HPA06C01","Residential Property Price Index","2010","2010","10","Fingal - houses","Base Jan 2005 = 100","78.3"
"HPA06C01","Residential Property Price Index","2010","2010","11","South Dublin - houses","Base Jan 2005 = 100","81"
"HPA06C01","Residential Property Price Index","2010","2010","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","89"
"HPA06C01","Residential Property Price Index","2010","2010","04","National excluding Dublin - houses","Base Jan 2005 = 100","90.6"
"HPA06C01","Residential Property Price Index","2010","2010","12","National excluding Dublin - apartments","Base Jan 2005 = 100","68.3"
"HPA06C01","Residential Property Price Index","2010","2010","13","Border excluding Louth - houses","Base Jan 2005 = 100","89.3"
"HPA06C01","Residential Property Price Index","2010","2010","14","Midland - houses","Base Jan 2005 = 100","89.6"
"HPA06C01","Residential Property Price Index","2010","2010","15","West - houses","Base Jan 2005 = 100","91.3"
"HPA06C01","Residential Property Price Index","2010","2010","16","Mid-East including Louth - houses","Base Jan 2005 = 100","91"
"HPA06C01","Residential Property Price Index","2010","2010","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","94.4"
"HPA06C01","Residential Property Price Index","2010","2010","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","90"
"HPA06C01","Residential Property Price Index","2010","2010","19","South-West - houses","Base Jan 2005 = 100","91.2"
"HPA06C01","Residential Property Price Index","2011","2011","-","National - all residential properties","Base Jan 2005 = 100","70.3"
"HPA06C01","Residential Property Price Index","2011","2011","01","National - houses","Base Jan 2005 = 100","73"
"HPA06C01","Residential Property Price Index","2011","2011","02","National - apartments","Base Jan 2005 = 100","56.1"
"HPA06C01","Residential Property Price Index","2011","2011","05","Dublin - all residential properties","Base Jan 2005 = 100","63.7"
"HPA06C01","Residential Property Price Index","2011","2011","06","Dublin - houses","Base Jan 2005 = 100","66.8"
"HPA06C01","Residential Property Price Index","2011","2011","07","Dublin - apartments","Base Jan 2005 = 100","56.9"
"HPA06C01","Residential Property Price Index","2011","2011","08","Dublin City - houses","Base Jan 2005 = 100","65.6"
"HPA06C01","Residential Property Price Index","2011","2011","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","64.8"
"HPA06C01","Residential Property Price Index","2011","2011","10","Fingal - houses","Base Jan 2005 = 100","69.2"
"HPA06C01","Residential Property Price Index","2011","2011","11","South Dublin - houses","Base Jan 2005 = 100","70.9"
"HPA06C01","Residential Property Price Index","2011","2011","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","73.1"
"HPA06C01","Residential Property Price Index","2011","2011","04","National excluding Dublin - houses","Base Jan 2005 = 100","74.7"
"HPA06C01","Residential Property Price Index","2011","2011","12","National excluding Dublin - apartments","Base Jan 2005 = 100","51.9"
"HPA06C01","Residential Property Price Index","2011","2011","13","Border excluding Louth - houses","Base Jan 2005 = 100","74.8"
"HPA06C01","Residential Property Price Index","2011","2011","14","Midland - houses","Base Jan 2005 = 100","67.3"
"HPA06C01","Residential Property Price Index","2011","2011","15","West - houses","Base Jan 2005 = 100","76"
"HPA06C01","Residential Property Price Index","2011","2011","16","Mid-East including Louth - houses","Base Jan 2005 = 100","75.1"
"HPA06C01","Residential Property Price Index","2011","2011","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","77.9"
"HPA06C01","Residential Property Price Index","2011","2011","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","71"
"HPA06C01","Residential Property Price Index","2011","2011","19","South-West - houses","Base Jan 2005 = 100","75.5"
"HPA06C01","Residential Property Price Index","2012","2012","-","National - all residential properties","Base Jan 2005 = 100","60.9"
"HPA06C01","Residential Property Price Index","2012","2012","01","National - houses","Base Jan 2005 = 100","63.4"
"HPA06C01","Residential Property Price Index","2012","2012","02","National - apartments","Base Jan 2005 = 100","45.8"
"HPA06C01","Residential Property Price Index","2012","2012","05","Dublin - all residential properties","Base Jan 2005 = 100","56.3"
"HPA06C01","Residential Property Price Index","2012","2012","06","Dublin - houses","Base Jan 2005 = 100","59.5"
"HPA06C01","Residential Property Price Index","2012","2012","07","Dublin - apartments","Base Jan 2005 = 100","47.1"
"HPA06C01","Residential Property Price Index","2012","2012","08","Dublin City - houses","Base Jan 2005 = 100","55.7"
"HPA06C01","Residential Property Price Index","2012","2012","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","58.7"
"HPA06C01","Residential Property Price Index","2012","2012","10","Fingal - houses","Base Jan 2005 = 100","59.8"
"HPA06C01","Residential Property Price Index","2012","2012","11","South Dublin - houses","Base Jan 2005 = 100","60.8"
"HPA06C01","Residential Property Price Index","2012","2012","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62"
"HPA06C01","Residential Property Price Index","2012","2012","04","National excluding Dublin - houses","Base Jan 2005 = 100","63.4"
"HPA06C01","Residential Property Price Index","2012","2012","12","National excluding Dublin - apartments","Base Jan 2005 = 100","43"
"HPA06C01","Residential Property Price Index","2012","2012","13","Border excluding Louth - houses","Base Jan 2005 = 100","59.3"
"HPA06C01","Residential Property Price Index","2012","2012","14","Midland - houses","Base Jan 2005 = 100","56.2"
"HPA06C01","Residential Property Price Index","2012","2012","15","West - houses","Base Jan 2005 = 100","64.2"
"HPA06C01","Residential Property Price Index","2012","2012","16","Mid-East including Louth - houses","Base Jan 2005 = 100","62.4"
"HPA06C01","Residential Property Price Index","2012","2012","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","65.7"
"HPA06C01","Residential Property Price Index","2012","2012","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.5"
"HPA06C01","Residential Property Price Index","2012","2012","19","South-West - houses","Base Jan 2005 = 100","66.2"
