"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2020","2020","10","Fingal - houses","Base Jan 2005 = 100","106.8"
"HPA06C01","Residential Property Price Index","2020","2020","11","South Dublin - houses","Base Jan 2005 = 100","110.4"
"HPA06C01","Residential Property Price Index","2020","2020","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","103"
"HPA06C01","Residential Property Price Index","2020","2020","04","National excluding Dublin - houses","Base Jan 2005 = 100","104.6"
"HPA06C01","Residential Property Price Index","2020","2020","12","National excluding Dublin - apartments","Base Jan 2005 = 100","79.6"
"HPA06C01","Residential Property Price Index","2020","2020","13","Border excluding Louth - houses","Base Jan 2005 = 100","80.3"
"HPA06C01","Residential Property Price Index","2020","2020","14","Midland - houses","Base Jan 2005 = 100","95.4"
"HPA06C01","Residential Property Price Index","2020","2020","15","West - houses","Base Jan 2005 = 100","104.2"
"HPA06C01","Residential Property Price Index","2020","2020","16","Mid-East including Louth - houses","Base Jan 2005 = 100","113.3"
"HPA06C01","Residential Property Price Index","2020","2020","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","96.1"
"HPA06C01","Residential Property Price Index","2020","2020","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","100"
"HPA06C01","Residential Property Price Index","2020","2020","19","South-West - houses","Base Jan 2005 = 100","114.7"
"HPA06C01","Residential Property Price Index","2021","2021","-","National - all residential properties","Base Jan 2005 = 100","116.9"
"HPA06C01","Residential Property Price Index","2021","2021","01","National - houses","Base Jan 2005 = 100","120.9"
"HPA06C01","Residential Property Price Index","2021","2021","02","National - apartments","Base Jan 2005 = 100","96.8"
"HPA06C01","Residential Property Price Index","2021","2021","05","Dublin - all residential properties","Base Jan 2005 = 100","112.5"
"HPA06C01","Residential Property Price Index","2021","2021","06","Dublin - houses","Base Jan 2005 = 100","118.8"
"HPA06C01","Residential Property Price Index","2021","2021","07","Dublin - apartments","Base Jan 2005 = 100","94.7"
"HPA06C01","Residential Property Price Index","2021","2021","08","Dublin City - houses","Base Jan 2005 = 100","120"
"HPA06C01","Residential Property Price Index","2021","2021","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","116.6"
"HPA06C01","Residential Property Price Index","2021","2021","10","Fingal - houses","Base Jan 2005 = 100","112.7"
"HPA06C01","Residential Property Price Index","2021","2021","11","South Dublin - houses","Base Jan 2005 = 100","119.7"
"HPA06C01","Residential Property Price Index","2021","2021","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","112.5"
"HPA06C01","Residential Property Price Index","2021","2021","04","National excluding Dublin - houses","Base Jan 2005 = 100","113.8"
"HPA06C01","Residential Property Price Index","2021","2021","12","National excluding Dublin - apartments","Base Jan 2005 = 100","90.2"
"HPA06C01","Residential Property Price Index","2021","2021","13","Border excluding Louth - houses","Base Jan 2005 = 100","91.3"
"HPA06C01","Residential Property Price Index","2021","2021","14","Midland - houses","Base Jan 2005 = 100","105.3"
"HPA06C01","Residential Property Price Index","2021","2021","15","West - houses","Base Jan 2005 = 100","113.2"
"HPA06C01","Residential Property Price Index","2021","2021","16","Mid-East including Louth - houses","Base Jan 2005 = 100","122.8"
"HPA06C01","Residential Property Price Index","2021","2021","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","103.7"
"HPA06C01","Residential Property Price Index","2021","2021","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","111.6"
"HPA06C01","Residential Property Price Index","2021","2021","19","South-West - houses","Base Jan 2005 = 100","122.6"
"HPA06C01","Residential Property Price Index","2022","2022","-","National - all residential properties","Base Jan 2005 = 100","131.3"
"HPA06C01","Residential Property Price Index","2022","2022","01","National - houses","Base Jan 2005 = 100","136"
"HPA06C01","Residential Property Price Index","2022","2022","02","National - apartments","Base Jan 2005 = 100","107"
"HPA06C01","Residential Property Price Index","2022","2022","05","Dublin - all residential properties","Base Jan 2005 = 100","124"
"HPA06C01","Residential Property Price Index","2022","2022","06","Dublin - houses","Base Jan 2005 = 100","131.1"
"HPA06C01","Residential Property Price Index","2022","2022","07","Dublin - apartments","Base Jan 2005 = 100","104"
"HPA06C01","Residential Property Price Index","2022","2022","08","Dublin City - houses","Base Jan 2005 = 100","132.7"
"HPA06C01","Residential Property Price Index","2022","2022","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","127.6"
"HPA06C01","Residential Property Price Index","2022","2022","10","Fingal - houses","Base Jan 2005 = 100","124.9"
"HPA06C01","Residential Property Price Index","2022","2022","11","South Dublin - houses","Base Jan 2005 = 100","132.8"
"HPA06C01","Residential Property Price Index","2022","2022","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","128.2"
"HPA06C01","Residential Property Price Index","2022","2022","04","National excluding Dublin - houses","Base Jan 2005 = 100","129.9"
"HPA06C01","Residential Property Price Index","2022","2022","12","National excluding Dublin - apartments","Base Jan 2005 = 100","101.3"
"HPA06C01","Residential Property Price Index","2022","2022","13","Border excluding Louth - houses","Base Jan 2005 = 100","107.7"
"HPA06C01","Residential Property Price Index","2022","2022","14","Midland - houses","Base Jan 2005 = 100","121.1"
"HPA06C01","Residential Property Price Index","2022","2022","15","West - houses","Base Jan 2005 = 100","132.3"
"HPA06C01","Residential Property Price Index","2022","2022","16","Mid-East including Louth - houses","Base Jan 2005 = 100","139.1"
"HPA06C01","Residential Property Price Index","2022","2022","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","116"
"HPA06C01","Residential Property Price Index","2022","2022","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","128.8"
"HPA06C01","Residential Property Price Index","2022","2022","19","South-West - houses","Base Jan 2005 = 100","138"
"HPA06C01","Residential Property Price Index","2023","2023","-","National - all residential properties","Base Jan 2005 = 100","135.3"
"HPA06C01","Residential Property Price Index","2023","2023","01","National - houses","Base Jan 2005 = 100","140.4"
"HPA06C01","Residential Property Price Index","2023","2023","02","National - apartments","Base Jan 2005 = 100","109.2"
"HPA06C01","Residential Property Price Index","2023","2023","05","Dublin - all residential properties","Base Jan 2005 = 100","124.8"
"HPA06C01","Residential Property Price Index","2023","2023","06","Dublin - houses","Base Jan 2005 = 100","131.7"
"HPA06C01","Residential Property Price Index","2023","2023","07","Dublin - apartments","Base Jan 2005 = 100","105.3"
"HPA06C01","Residential Property Price Index","2023","2023","08","Dublin City - houses","Base Jan 2005 = 100","130.4"
"HPA06C01","Residential Property Price Index","2023","2023","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","127"
"HPA06C01","Residential Property Price Index","2023","2023","10","Fingal - houses","Base Jan 2005 = 100","128"
"HPA06C01","Residential Property Price Index","2023","2023","11","South Dublin - houses","Base Jan 2005 = 100","137.7"
"HPA06C01","Residential Property Price Index","2023","2023","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","134.6"
"HPA06C01","Residential Property Price Index","2023","2023","04","National excluding Dublin - houses","Base Jan 2005 = 100","136.5"
"HPA06C01","Residential Property Price Index","2023","2023","12","National excluding Dublin - apartments","Base Jan 2005 = 100","105"
"HPA06C01","Residential Property Price Index","2023","2023","13","Border excluding Louth - houses","Base Jan 2005 = 100","113"
"HPA06C01","Residential Property Price Index","2023","2023","14","Midland - houses","Base Jan 2005 = 100","127"
"HPA06C01","Residential Property Price Index","2023","2023","15","West - houses","Base Jan 2005 = 100","138.6"
"HPA06C01","Residential Property Price Index","2023","2023","16","Mid-East including Louth - houses","Base Jan 2005 = 100","146.2"
"HPA06C01","Residential Property Price Index","2023","2023","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","122"
"HPA06C01","Residential Property Price Index","2023","2023","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","135.5"
"HPA06C01","Residential Property Price Index","2023","2023","19","South-West - houses","Base Jan 2005 = 100","145.2"
"HPA06C01","Residential Property Price Index","2024","2024","-","National - all residential properties","Base Jan 2005 = 100","146.8"
"HPA06C01","Residential Property Price Index","2024","2024","01","National - houses","Base Jan 2005 = 100","152.6"
"HPA06C01","Residential Property Price Index","2024","2024","02","National - apartments","Base Jan 2005 = 100","117.3"
"HPA06C01","Residential Property Price Index","2024","2024","05","Dublin - all residential properties","Base Jan 2005 = 100","135.6"
"HPA06C01","Residential Property Price Index","2024","2024","06","Dublin - houses","Base Jan 2005 = 100","143.7"
"HPA06C01","Residential Property Price Index","2024","2024","07","Dublin - apartments","Base Jan 2005 = 100","112.6"
"HPA06C01","Residential Property Price Index","2024","2024","08","Dublin City - houses","Base Jan 2005 = 100","143.8"
"HPA06C01","Residential Property Price Index","2024","2024","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","136.2"
"HPA06C01","Residential Property Price Index","2024","2024","10","Fingal - houses","Base Jan 2005 = 100","139.9"
"HPA06C01","Residential Property Price Index","2024","2024","11","South Dublin - houses","Base Jan 2005 = 100","151.1"
"HPA06C01","Residential Property Price Index","2024","2024","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","145.9"
"HPA06C01","Residential Property Price Index","2024","2024","04","National excluding Dublin - houses","Base Jan 2005 = 100","147.9"
"HPA06C01","Residential Property Price Index","2024","2024","12","National excluding Dublin - apartments","Base Jan 2005 = 100","113.8"
"HPA06C01","Residential Property Price Index","2024","2024","13","Border excluding Louth - houses","Base Jan 2005 = 100","123.6"
"HPA06C01","Residential Property Price Index","2024","2024","14","Midland - houses","Base Jan 2005 = 100","140.3"
"HPA06C01","Residential Property Price Index","2024","2024","15","West - houses","Base Jan 2005 = 100","150.5"
"HPA06C01","Residential Property Price Index","2024","2024","16","Mid-East including Louth - houses","Base Jan 2005 = 100","156.1"
"HPA06C01","Residential Property Price Index","2024","2024","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","136.1"
"HPA06C01","Residential Property Price Index","2024","2024","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","144.9"
"HPA06C01","Residential Property Price Index","2024","2024","19","South-West - houses","Base Jan 2005 = 100","158.6"
"HPA06C01","Residential Property Price Index","2025","2025","-","National - all residential properties","Base Jan 2005 = 100","157.9"
"HPA06C01","Residential Property Price Index","2025","2025","01","National - houses","Base Jan 2005 = 100","164.3"
"HPA06C01","Residential Property Price Index","2025","2025","02","National - apartments","Base Jan 2005 = 100","125.3"
"HPA06C01","Residential Property Price Index","2025","2025","05","Dublin - all residential properties","Base Jan 2005 = 100","143.9"
"HPA06C01","Residential Property Price Index","2025","2025","06","Dublin - houses","Base Jan 2005 = 100","152.4"
"HPA06C01","Residential Property Price Index","2025","2025","07","Dublin - apartments","Base Jan 2005 = 100","119.7"
"HPA06C01","Residential Property Price Index","2025","2025","08","Dublin City - houses","Base Jan 2005 = 100","153.5"
"HPA06C01","Residential Property Price Index","2025","2025","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","143.1"
"HPA06C01","Residential Property Price Index","2025","2025","10","Fingal - houses","Base Jan 2005 = 100","149.3"
"HPA06C01","Residential Property Price Index","2025","2025","11","South Dublin - houses","Base Jan 2005 = 100","159.9"
"HPA06C01","Residential Property Price Index","2025","2025","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","158.5"
"HPA06C01","Residential Property Price Index","2025","2025","04","National excluding Dublin - houses","Base Jan 2005 = 100","160.8"
"HPA06C01","Residential Property Price Index","2025","2025","12","National excluding Dublin - apartments","Base Jan 2005 = 100","122.8"
"HPA06C01","Residential Property Price Index","2025","2025","13","Border excluding Louth - houses","Base Jan 2005 = 100","134.7"
"HPA06C01","Residential Property Price Index","2025","2025","14","Midland - houses","Base Jan 2005 = 100","156.8"
"HPA06C01","Residential Property Price Index","2025","2025","15","West - houses","Base Jan 2005 = 100","163.2"
"HPA06C01","Residential Property Price Index","2025","2025","16","Mid-East including Louth - houses","Base Jan 2005 = 100","168.2"
"HPA06C01","Residential Property Price Index","2025","2025","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","149.9"
"HPA06C01","Residential Property Price Index","2025","2025","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","156"
"HPA06C01","Residential Property Price Index","2025","2025","19","South-West - houses","Base Jan 2005 = 100","172.8"
